# realization, C(theta=180) 
7.519800000000000000e+04 -1.473700174250468251e+02
7.519900000000000000e+04 -1.541236511490177463e+02
7.520000000000000000e+04 4.526969679287279860e+02
7.520100000000000000e+04 6.987094076901385051e+02
7.520200000000000000e+04 4.079179406655114803e+02
7.520300000000000000e+04 2.019759851570490241e+02
7.520400000000000000e+04 1.446894388091633346e+02
7.520500000000000000e+04 6.978036673498386335e+02
7.520600000000000000e+04 1.378004235020783881e+02
7.520700000000000000e+04 1.067055156134252002e+03
7.520800000000000000e+04 9.807434554291477298e+02
7.520900000000000000e+04 6.012822206202690722e+01
7.521000000000000000e+04 6.588326940709362134e+02
7.521100000000000000e+04 -9.348776614715401934e+01
7.521200000000000000e+04 3.007451735434977422e+02
7.521300000000000000e+04 3.476178181004722774e+02
7.521400000000000000e+04 4.749844230131770928e+02
7.521500000000000000e+04 6.704051576111211261e+02
7.521600000000000000e+04 7.503217219673251748e+01
7.521700000000000000e+04 -3.680982256954078480e+01
7.521800000000000000e+04 4.959293925034562562e+02
7.521900000000000000e+04 1.934689931976761955e+03
7.522000000000000000e+04 2.995151694159089857e+02
7.522100000000000000e+04 6.946802607383352779e+01
7.522200000000000000e+04 4.960302382445321427e+02
7.522300000000000000e+04 6.328370112265008629e+02
7.522400000000000000e+04 -4.875319864414299218e+02
7.522500000000000000e+04 1.318757668204830509e+02
7.522600000000000000e+04 5.072250374798014718e+02
7.522700000000000000e+04 8.119723079696200330e+02
7.522800000000000000e+04 4.605283534173549356e+02
7.522900000000000000e+04 3.723691935854008648e+02
7.523000000000000000e+04 5.037128294075450867e+02
7.523100000000000000e+04 4.724140003867034920e+02
7.523200000000000000e+04 -1.568999520981237197e+02
7.523300000000000000e+04 2.333493569551587825e+02
7.523400000000000000e+04 -1.262345560374353113e+02
7.523500000000000000e+04 3.590372476194636988e+02
7.523600000000000000e+04 1.899007308598434633e+02
7.523700000000000000e+04 4.789710074860348072e+02
7.523800000000000000e+04 -1.020594547160632146e+02
7.523900000000000000e+04 1.136837739405202967e+02
7.524000000000000000e+04 2.026098905028008517e+02
7.524100000000000000e+04 -1.969666381503719208e+02
7.524200000000000000e+04 6.395546217135415645e+02
7.524300000000000000e+04 6.769804076613590382e+01
7.524400000000000000e+04 1.278933466399785630e+03
7.524500000000000000e+04 8.948253070622058658e-01
7.524600000000000000e+04 8.301505711475406315e+02
7.524700000000000000e+04 2.522558593879721229e+02
7.524800000000000000e+04 6.169752963761084175e+00
7.524900000000000000e+04 -4.635276468595999404e+02
7.525000000000000000e+04 -4.322347954216243693e+02
7.525100000000000000e+04 3.327222053836067062e+02
7.525200000000000000e+04 3.018450545131864260e+02
7.525300000000000000e+04 1.285416415170843152e+02
7.525400000000000000e+04 3.371333595053582144e+02
7.525500000000000000e+04 1.500492289054724893e+02
7.525600000000000000e+04 1.610365476511643408e+02
7.525700000000000000e+04 6.227040689419549153e+02
7.525800000000000000e+04 5.123423379713753434e+01
7.525900000000000000e+04 1.744177804923257327e+02
